"Topic","Title","Title_kr","URL","Categories","Session_Description","Session_Description_kr","Learning_Objectives","Lab_Modules","Technologies_Used","Prerequisites"
"Hands-on workshop on building AI applications using Azure SQL Database and generative AI concepts","LAB530: Build new AI Applications with Azure SQL Databases","LAB530: Azure SQL Database로 새로운 AI 애플리케이션 구축","https://github.com/microsoft/ignite25-LAB530-build-new-ai-applications-with-azure-sql-databases","AI;Azure;Data;Copilot","This hands-on workshop showcases the latest Azure SQL innovations to help supercharge application development. Participants learn how to use generative AI with Azure SQL Database, including language models, prompt engineering, and Retrieval Augmented Generation (RAG). The session also covers streamlining workflows with Microsoft Copilot for developers, architects, and IT professionals building data-driven solutions.","이 실습형 워크숍에서는 애플리케이션 개발을 가속화하는 최신 Azure SQL 혁신을 소개합니다. 참가자는 Azure SQL Database와 함께 generative AI를 활용하는 방법을 학습하며, language model, prompt engineering, Retrieval Augmented Generation(RAG)과 같은 AI 개념을 다룹니다. 또한 개발자, 아키텍트, IT 전문가가 데이터 중심 솔루션을 구축할 때 Microsoft Copilot으로 워크플로를 간소화하는 방법도 살펴봅니다.","Understand how to combine generative AI with Azure SQL Database; apply concepts such as language models, prompt engineering, and RAG in data strategies; learn how Microsoft Copilot can streamline development and data workflows with Azure SQL innovations.","Session Description; Microsoft Learn MCP Server (setup via VS Code button or mcp.json); Resources and Next Steps","Azure SQL Database; Generative AI; Language models; Prompt engineering; Retrieval Augmented Generation (RAG); Microsoft Copilot; Microsoft Learn MCP Server; GitHub Copilot; VS Code",""
"End-to-end BI and analytics solution using Azure Databricks with governance, automated pipelines, AI-powered dashboards, and Power BI integration","LAB531 - Accelerate BI with Azure Databricks in the Era of AI","LAB531 - AI 시대의 Azure Databricks로 BI를 가속화하기","https://github.com/microsoft/ignite25-LAB531-accelerate-bi-with-azure-databricks-in-the-era-of-ai","Azure;Data;Analytics;AI;Governance","In this 90-minute, beginner-friendly lab, participants build an end-to-end analytics solution using Azure Databricks. The workshop covers automated data pipelines with Lakeflow, enterprise governance with Unity Catalog, and a semantic metric layer with Metric Views. Learners then create AI-powered dashboards using Databricks AI/BI and Genie, integrate with Power BI via DirectQuery, and deploy a full-stack application using Databricks Apps.","이 90분 분량의 초급자 친화형 실습에서는 Azure Databricks를 사용하여 엔드 투 엔드 분석 솔루션을 구축합니다. Lakeflow를 통한 자동화된 데이터 파이프라인, Unity Catalog를 활용한 엔터프라이즈 거버넌스, Metric Views 기반의 시맨틱 메트릭 레이어를 다룹니다. 이후 Databricks AI/BI 및 Genie로 AI 기반 대시보드를 만들고, DirectQuery로 Power BI와 통합하며, Databricks Apps로 풀스택 애플리케이션을 배포하고 탐색합니다.","Build automated data pipelines using Lakeflow (Spark Declarative Pipelines) with data quality checks and CDC; apply enterprise data governance with Unity Catalog (catalogs, schemas, row-level security); create semantic metric layers using Metric Views; build AI-powered dashboards with Databricks AI/BI and Genie; integrate Databricks with Power BI using DirectQuery; deploy and explore a full-stack app on Databricks Apps; apply the medallion (Bronze/Silver/Gold) architecture for analytics data.","Introduction; Setup - Import repo, configure, deploy; Lab 01 - Lakeflow Data Transformation; Lab 02 - Unity Catalog Governance; Lab 03 - AI/BI Dashboards & Genie; Lab 04 - Publish to Power BI; Lab 05 - Databricks App Deployment & Exploration; Wrap-Up & Next Steps; Quick Start - Environment Setup (launch workspace, import Git folder, run setup notebook); Deploy Workshop Resources (UI method; CLI method); Run the Workshop Job (Lakeflow orchestration job); Databricks App - Start and Deploy; Lab 01 steps (explore dimension definitions in transformations: dim_customer.py, dim_date.py, dim_employee.py, dim_host.py, dim_property.py; review @dp.materialized_view, @dp.expect, generate_sk).","Azure Databricks; Unity Catalog; Lakeflow Spark Declarative Pipelines (SDP); Databricks SQL; Metric Views; Databricks AI/BI Dashboards; Genie; Databricks Apps; Microsoft Power BI; DirectQuery; Azure portal; Serverless compute; Web Terminal; GitHub","Access to the provided lab virtual machine and credentials; browser-based work inside the lab VM (no local installation required); access to an Azure Databricks workspace with Lakeflow Pipelines Editor, new pipeline monitoring, and Web Terminal enabled; ability to sign in to Azure portal and import the public GitHub repository into the Databricks workspace."
"Real-time analytics and Real-Time Intelligence in Microsoft Fabric for event-driven streaming data, dashboards, and alerts","WRK532: Get Real with Real-Time Intelligence to Transform Data into Action","WRK532: Real-Time Intelligence로 실시간 데이터를 행동으로 전환하기","https://github.com/microsoft/ignite25-LAB532-get-real-with-real-time-intelligence-to-transform-data-into-action","Azure;Data;Analytics;AI;Agent","Harness the power of real-time analytics and digital twins to achieve critical operational tasks. In this lab, you will transform physical systems into dynamic digital replicas to improve simulations and optimize operations. You will build end-to-end solutions for event-driven scenarios using streaming data and data logs. The hands-on exercises help you drive faster decision-making and innovation with real-time insights.","이 세션에서는 실시간 분석과 디지털 트윈의 역량을 활용하여 핵심 운영 과제를 수행하는 방법을 다룹니다. 본 실습에서 참가자는 물리적 시스템을 동적인 디지털 복제본으로 전환하여 시뮬레이션을 강화하고 운영을 최적화합니다. 또한 스트리밍 데이터와 데이터 로그를 활용해 이벤트 기반 시나리오를 위한 엔드 투 엔드 솔루션을 구축합니다. 실습 중심의 단계들을 통해 실시간 인사이트로 더 빠른 의사결정과 조직의 혁신을 촉진할 수 있습니다.","Set up Microsoft Fabric resources for a real-time event stream using sample bicycle telemetry data. Ingest and query streaming data with KQL, build real-time dashboards, create a Power BI report from KQL outputs, and configure alerts to monitor event stream changes.","['Create and configure a real-time event stream in Microsoft Fabric', 'Ingest and query streaming data using KQL', 'Build a real-time dashboard to visualize data', 'Create a Power BI report from KQL query output', 'Set alerts on event streams to monitor data changes']","['Microsoft Fabric', 'Real-Time Intelligence (Microsoft Fabric)', 'Kusto Query Language (KQL)', 'Fabric Data Agent', 'Power BI']",""
"Hands-on lab for building scalable, AI-ready data solutions using SQL Database in Microsoft Fabric, including Copilot, RAG with Azure OpenAI, GraphQL APIs, and Power BI reporting.","LAB533: Develop Scalable Data Solutions with SQL Database in Microsoft Fabric","LAB533: Microsoft Fabric의 SQL Database로 확장 가능한 데이터 솔루션 개발","https://github.com/microsoft/ignite25-LAB533-build-scalable-ai-and-data-solutions-in-sql-database-in-microsoft-fabric","Data;AI;Azure;Analytics;Copilot","This hands-on lab guides participants through designing, building, and operationalizing scalable data solutions using SQL database in Microsoft Fabric. Attendees will use Copilot-assisted T-SQL and natural language querying, implement Retrieval-Augmented Generation (RAG) with Azure OpenAI using vector embeddings and similarity search, and expose capabilities through GraphQL APIs. The lab also covers creating Power BI reports and semantic models from SQL analytics endpoints within the Fabric ecosystem.","이 실습형 랩은 Microsoft Fabric의 SQL database를 중심으로 확장 가능한 데이터 솔루션을 설계, 구축, 운영하는 과정을 안내합니다. 참가자는 Copilot을 활용한 T-SQL 개발 및 자연어 쿼리 기능을 사용하고, 벡터 임베딩과 유사도 검색을 기반으로 Azure OpenAI를 활용한 RAG(Retrieval-Augmented Generation)를 구현합니다. 또한 GraphQL API로 기능을 노출하고, Fabric 에코시스템 내 SQL analytics endpoint를 기반으로 Power BI 보고서와 semantic model을 생성하는 방법을 다룹니다.","- Create and configure SQL databases in Microsoft Fabric - Use Copilot for T-SQL development, NL2SQL, query explanation, and error fixing - Implement RAG using vector embeddings and semantic similarity search (VECTOR_DISTANCE) - Build GraphQL APIs backed by stored procedures and AI-powered responses via chat completions - Create Power BI reports using semantic models from SQL analytics endpoints - Understand an end-to-end architecture for AI-ready data solutions in Microsoft Fabric","Module 1: Introduction to SQL Database in Fabric (workspace and database setup; load sample data; SQL analytics endpoints and OneLake mirroring; replication monitoring) Module 2: Copilot Capabilities for SQL Database (AI query assistance; NL2SQL; error fixing and explanations; interaction modes) Module 3: RAG Implementation with Azure OpenAI (vector embeddings; semantic similarity search with VECTOR_DISTANCE; stored procedures for recommendations; database scoped credentials) Module 4: GraphQL API for RAG Applications (GraphQL design using vector search; API-optimized stored procedures; chat completion integration; client code generation) Module 5: Power BI Reports Using Semantic Models (semantic models from SQL analytics endpoints; Copilot-assisted report building; geographic sales insights; automated report generation)","Microsoft Fabric; SQL database in Microsoft Fabric; T-SQL; SQL analytics endpoints; OneLake; Copilot; Azure OpenAI Service; GPT-4; text-embedding-ada-002; Vector embeddings; VECTOR_DISTANCE; Retrieval-Augmented Generation (RAG); GraphQL; Stored procedures; Power BI; Semantic models; AdventureWorks sample data","Access to Microsoft Fabric workspace; Azure OpenAI Service deployment (provided in lab environment); Basic understanding of SQL and T-SQL syntax; Familiarity with Microsoft Power BI (helpful but not required)"
"Building a real-time analytics solution using Cosmos DB in Microsoft Fabric, including streaming pipelines, cross-database analytics, Reverse ETL, and personalized recommendations","LAB534: Build Real-Time Analytics with Cosmos DB in Microsoft Fabric","LAB534: Microsoft Fabric에서 Cosmos DB로 실시간 분석 구축","https://github.com/microsoft/ignite25-LAB534-build-real-time-analytics-with-cosmos-db-in-microsoft-fabric","Azure;Data;Analytics;Machine Learning;DevOps","Learn how to build a complete real-time analytics solution using Cosmos DB in Microsoft Fabric. This hands-on lab demonstrates how to create an operational data store, implement streaming data pipelines, build cross-database analytics, and deploy personalized recommendations using Reverse ETL patterns.","Cosmos DB in Microsoft Fabric를 사용하여 완전한 실시간 분석 솔루션을 구축하는 방법을 학습합니다. 이 실습 랩에서는 운영 데이터 저장소를 생성하고, 스트리밍 데이터 파이프라인을 구현하며, 크로스 데이터베이스 분석을 구축하고, Reverse ETL 패턴을 활용해 개인화 추천을 배포하는 과정을 시연합니다.","Provision and configure Cosmos DB in Microsoft Fabric as an operational data store; implement real-time streaming using Eventstreams and KQL for POS transaction data; build cross-database analytics using Cosmos DB automatic mirroring to OneLake; create data warehouses and perform ETL from streaming to structured data; implement Reverse ETL patterns to update operational systems with analytical insights; deploy personalized recommendation models using machine learning and customer behavior data.","Fabric Environment Setup; Exercise 1: Provisioning Cosmos DB in Fabric; Exercise 2: Cross-Database Analytics; Exercise 3: Real-Time Streaming; Exercise 4: Reverse ETL & ML; Exercise 5: Serve Personalized Recommendations from Cosmos DB","Microsoft Fabric; Cosmos DB in Microsoft Fabric; Real-Time Intelligence Workload; Eventstreams; KQL; Eventhouse; OneLake; OneLake mirroring; Data Warehouse (Fabric); Fabric Notebooks; Apache Spark (PySpark); .NET 10; C#; SQL Endpoint; REST APIs; JSON","Access to Microsoft Fabric workspace with appropriate permissions; basic familiarity with SQL, NoSQL databases, and data analytics concepts; understanding of JSON data structures and REST APIs"
"Designing and deploying a unified AI and analytics solution across Microsoft using Azure Databricks and related services","LAB535: Azure Databricks in Action: Unified AI & Analytics Across Microsoft","LAB535: Azure Databricks 실전: Microsoft 전반에서 통합 AI 및 분석 구현","https://github.com/microsoft/ignite25-LAB535-azure-databricks-in-action-unified-ai-and-analytics-across-microsoft","Azure;Data;AI;Analytics;Copilot","In this hands-on lab, participants design and deploy a modern, cloud-native analytics and AI solution using Azure Databricks, Azure AI Foundry, and Microsoft Copilot Studio. Using the Zava-Litware scenario, they perform data ingestion, orchestration with Lakeflow, and AI-driven insights via Genie. The lab also covers a mirrored catalog in Microsoft Fabric, low-code automation with Copilot Studio, and advanced reporting in Power BI to demonstrate scalable, cost-efficient AI-powered analytics for business transformation.","이 실습형 랩에서는 Azure Databricks, Azure AI Foundry, Microsoft Copilot Studio를 사용하여 현대적인 클라우드 네이티브 분석 및 AI 솔루션을 설계하고 배포합니다. Zava-Litware 시나리오를 기반으로 데이터 수집, Lakeflow를 통한 오케스트레이션, Genie를 활용한 AI 기반 인사이트 도출을 수행합니다. 또한 Microsoft Fabric의 미러드 카탈로그, Copilot Studio의 로우코드 자동화, Power BI의 고급 리포팅까지 다루며, 비즈니스 혁신을 위한 확장 가능하고 비용 효율적인 AI 기반 분석을 구현합니다.","Design and deploy a cloud-native analytics and AI solution with Azure Databricks; perform data ingestion and orchestration using Lakeflow; generate AI-driven insights using Genie; integrate with Microsoft Fabric via a mirrored catalog; build low-code automation with Microsoft Copilot Studio; create advanced reports in Power BI; understand how to build scalable and cost-efficient AI-powered analytics solutions.","Design and deploy modern analytics and AI solution; Data ingestion (Zava-Litware scenario); Orchestration with Lakeflow; AI-driven insights via Genie; Mirrored catalog in Microsoft Fabric; Low-code automation with Microsoft Copilot Studio; Advanced reporting in Power BI","Azure Databricks; Azure AI Foundry; Microsoft Copilot Studio; Lakeflow; Genie; Microsoft Fabric; Power BI; Microsoft Learn MCP Server; GitHub Copilot; VS Code",""
"End-to-end technical lab on Microsoft Fabric to unify data in OneLake, enable governed analytics, and build generative AI solutions with Fabric data agents and Copilot.","PREL14: Unify data, act on insights, and build AI solutions with Microsoft Fabric","PREL14: Microsoft Fabric로 데이터를 통합하고 인사이트에 기반해 실행하며 AI 솔루션을 구축하기","https://github.com/microsoft/ignite25-PREL14-unify-data-act-on-insights-and-build-ai-solutions-with-microsoft-fabric","Data;AI;Analytics;Copilot;Azure","This half-day technical lab provides an end-to-end experience with Microsoft Fabric, starting in OneLake to understand how a single copy of data can streamline governance and reduce duplication. Participants complete guided, role-based labs to ingest, transform, and enrich data, accelerate development with Copilot, and build a conversational Q&A system using Fabric data agents. The session concludes with data visualization in Power BI, resulting in a complete governed data-to-insight workflow.","이 반일(half-day) 기술 랩에서는 Microsoft Fabric를 엔드 투 엔드로 직접 경험합니다. OneLake에서 시작하여 단일 데이터 사본이 거버넌스를 간소화하고 중복을 제거하는 방식을 살펴봅니다. 참가자는 역할 기반 가이드 랩을 통해 데이터를 수집, 변환, 보강하고 Copilot으로 데이터 솔루션 개발을 가속화하며 Fabric data agents를 사용해 대화형 Q&A 시스템을 구축합니다. 마지막으로 Power BI로 데이터를 시각화하여, 거버넌스가 적용된 완전한 데이터-인사이트 워크플로를 완성합니다.","Understand options for loading and storing data in a Microsoft Fabric analytics solution; perform basic data transformations using Spark and T-SQL; create, configure, and evaluate a Microsoft Fabric data agent.","OneLake and single-copy data governance overview; Architecture for a generative AI solution in Fabric; Data ingestion, transformation, and enrichment (multiple methods); Copilot-assisted development for data solutions; Build a conversational Q&A system with Fabric data agents; Visualize data using Power BI","Microsoft Fabric (Data Engineering, Data Warehouse, Data Science/data agent); OneLake; Spark; T-SQL; Copilot; Power BI; Microsoft Learn MCP Server; VS Code",""
"Integrating Microsoft Purview with Microsoft Defender XDR to investigate insider risk and security incidents","Lab540: Microsoft Purview Integration with Microsoft Defender XDR","Lab540: Microsoft Purview와 Microsoft Defender XDR 통합","https://github.com/microsoft/ignite25-LAB540-microsoft-purview-integration-with-microsoft-defender-xdr","Security;Governance;Compliance;Microsoft 365","As threats grow more complex, teams need improved visibility and context to defend threats faster. In this lab, participants explore how Microsoft Purview and Microsoft Defender XDR integrate to help organizations investigate security incidents through a single pane. The session covers sharing and investigating insider risk alerts, incident investigation workflows, and threat hunting using KQL and Advanced Hunting. Learners also retrieve insider risk alert data via Microsoft Graph API and interpret Data Security Investigation results.","위협이 점점 더 복잡해짐에 따라, 팀은 더 빠르게 위협에 대응하기 위해 향상된 가시성과 컨텍스트가 필요합니다. 이 랩에서는 Microsoft Purview와 Microsoft Defender XDR이 통합되어 단일 화면에서 보안 인시던트를 조사할 수 있도록 조직을 지원하는 방법을 살펴봅니다. 또한 Insider Risk 알림 공유 및 조사, 인시던트 조사 워크플로, KQL 및 Advanced Hunting을 활용한 위협 헌팅을 다룹니다. 아울러 Microsoft Graph API를 통해 Insider Risk 알림 데이터를 가져오고 Data Security Investigation 결과를 실행 및 해석합니다.","Share insider risk alerts with Microsoft Defender XDR; investigate insider risk alerts and incidents in Microsoft Defender XDR; run KQL queries for threat hunting in Advanced Hunting; retrieve insider risk alert data via Microsoft Graph API; run and interpret Data Security Investigation results.","Share insider risk alerts with Microsoft Defender XDR; Investigate insider risk alerts in Microsoft Defender XDR; Investigate incidents in Microsoft Defender XDR; Run KQL queries in Advanced Hunting; Pull insider risk alert data via Microsoft Graph API; Run and interpret a Data Security Investigation","Microsoft Purview Insider Risk Management; Microsoft Purview Data Security Investigations; Microsoft Defender XDR; Microsoft Graph APIs; KQL; Advanced Hunting",""
"Defending against threats using Microsoft Defender XDR and Microsoft Defender for Endpoint in a Security Operations (SecOps) scenario","LAB541: Defend against threats with Microsoft Defender XDR","LAB541: Microsoft Defender XDR로 위협으로부터 방어하기","https://github.com/microsoft/ignite25-LAB541-defend-against-threats-with-microsoft-defender","Security;Azure;Defender;SecOps","In this lab, you act as a Security Operations Analyst at a company implementing Microsoft Defender XDR and Microsoft Defender for Endpoint. You will onboard a small set of devices to validate configuration and understand required changes to SecOps response procedures. The session includes running a simulated attack and using Defender XDR to investigate resulting alerts and incidents.","이 랩에서는 Microsoft Defender XDR 및 Microsoft Defender for Endpoint를 도입하는 회사의 보안 운영 분석가 역할을 수행합니다. 소수의 디바이스를 온보딩하여 구성을 검증하고 SecOps 대응 절차에 필요한 변경 사항을 파악합니다. 또한 모의 공격을 수행하고 Defender XDR을 사용하여 생성된 경고와 인시던트를 조사합니다.","Deploy and configure Microsoft Defender XDR; deploy Microsoft Defender for Endpoint and onboard devices; run a simulated attack and investigate alerts and incidents using Microsoft Defender XDR.","Deploy and configure Microsoft Defender XDR; Deploy Microsoft Defender for Endpoint and onboard devices; Simulate an attack; Investigate alerts and incidents in Microsoft Defender XDR.","Microsoft Defender XDR; Microsoft Defender for Endpoint",""
"Zero Trust security for identities and devices using Microsoft Intune and Microsoft Entra ID","Zero Trust Lab: Securing Identities and Devices with Intune and Entra","Zero Trust 랩: Intune 및 Entra를 사용하여 ID와 디바이스를 보호하기","https://github.com/microsoft/ignite25-LAB542-zero-trust-lab-securing-identities-and-devices-with-intune-and-entra","Security;Azure;Governance;Compliance","This repository contains the complete content for the hands-on lab ""Zero Trust Lab: Securing Identities and Devices with Intune and Entra."" Participants gain practical experience implementing Zero Trust security principles using Microsoft Intune and Microsoft Entra ID to secure identities and devices in modern enterprise environments. The lab covers configuring compliance and conditional access, identity protection, device enrollment, security baselines, and threat monitoring/response.","이 리포지토리는 ""Zero Trust 랩: Intune 및 Entra를 사용하여 ID와 디바이스를 보호하기"" 실습 랩의 전체 콘텐츠를 포함합니다. 참가자는 Microsoft Intune과 Microsoft Entra ID를 사용하여 현대적인 엔터프라이즈 환경에서 ID와 디바이스를 보호하는 Zero Trust 보안 원칙을 구현하는 실무 경험을 얻습니다. 또한 규정 준수 및 조건부 액세스 구성, ID 보호, 디바이스 등록, 보안 기준선, 위협 모니터링 및 대응을 다룹니다.","Implement Zero Trust security principles using Microsoft Intune and Entra ID; configure device compliance policies and conditional access rules; set up identity protection and risk-based authentication; manage device enrollment and security baselines; monitor and respond to security threats in a Zero Trust environment.","Implement Zero Trust security principles with Intune and Entra ID; Configure device compliance policies; Configure conditional access rules; Set up identity protection; Configure risk-based authentication; Manage device enrollment; Apply security baselines; Monitor and respond to security threats.","Microsoft Intune; Microsoft Entra ID (Azure Active Directory); Microsoft Defender for Endpoint; Azure Security Center; PowerShell",""
"Threat hunting and log analysis in Microsoft Sentinel using Kusto Query Language (KQL) and Sentinel Data Lake","LAB543: Perform threat hunting in Microsoft Sentinel","LAB543: Microsoft Sentinel에서 위협 헌팅 수행","https://github.com/microsoft/ignite25-LAB543-perform-threat-hunting-in-microsoft-sentinel","Security;Azure;Data;Analytics","In this lab, you act as a Security Operations Analyst at a company implementing Microsoft Sentinel. You will analyze log data to search for malicious activity, build visualizations, and perform threat hunting. You will use Kusto Query Language (KQL) to query and investigate data, including working with Sentinel Data Lake and advanced hunting capabilities.","이 랩에서는 Microsoft Sentinel을 도입하는 회사의 Security Operations Analyst 역할을 수행합니다. 로그 데이터를 분석하여 악성 활동을 탐지하고, 시각화를 구성하며, 위협 헌팅을 수행합니다. Sentinel Data Lake 및 고급 헌팅 기능을 포함하여 Kusto Query Language(KQL)를 사용해 데이터를 쿼리하고 조사합니다.","Ingest and analyze data in Sentinel Data Lake using KQL; hunt for threats using Microsoft Sentinel Advanced Hunting; hunt for threats using Data lake graph; create a Microsoft Sentinel Hunt and Livestream; hunt for threats using MITRE ATT&CK; use Data lake KQL jobs.","Ingest and analyze data in Sentinel Data Lake with KQL; Threat hunting with Microsoft Sentinel Advanced Hunting; Threat hunting with Data lake graph; Create a Microsoft Sentinel Hunt and Livestream; Threat hunting using MITRE ATT&CK; Use Data lake KQL jobs.","Microsoft Sentinel; Microsoft Defender XDR; Sentinel Data Lake; Kusto Query Language (KQL)",""
"Zero Trust security across data, infrastructure, network, and security operations using Microsoft security tools","LAB546: Securing the Stack – Zero Trust for Data, Infra, Network & SOC","LAB546: 스택 보안 강화 – 데이터, 인프라, 네트워크 및 SOC를 위한 Zero Trust","https://github.com/microsoft/ignite25-LAB546-securing-the-stack-zero-trust-for-data-infra-network-and-soc","Security;Azure;Governance;Compliance;Copilot","This hands-on lab introduces participants to the Microsoft Zero Trust Workshop and walks through securing the technology stack across four pillars: Data, Infrastructure, Network, and Security Operations. Participants explore the workshop tool and delivery guide, then run demos and scenarios to apply Zero Trust principles in an enterprise context. The lab uses Microsoft security products to simulate real-world situations and helps learners assess implementation effort and user impact using the Zero Trust roadmap.","이 실습형 랩에서는 Microsoft Zero Trust Workshop을 소개하고 데이터, 인프라, 네트워크, 보안 운영의 네 가지 핵심 축에 걸쳐 기술 스택을 보호하는 방법을 안내합니다. 참가자는 워크숍 도구와 제공 가이드를 살펴본 뒤, 데모와 시나리오를 수행하며 엔터프라이즈 환경에서 Zero Trust 원칙을 적용합니다. 또한 Microsoft 보안 제품을 활용해 실제 상황을 모사하고, Zero Trust 로드맵을 통해 구현 노력과 사용자 영향을 평가합니다.","- Understand the Data, Infrastructure, and Network pillars of the Microsoft Zero Trust Workshop - Explore the Zero Trust workshop tool and delivery guide - Apply Zero Trust principles to data protection, network access, and SOC operations - Use Microsoft Purview, Entra, Sentinel, and Defender to simulate real-world scenarios - Evaluate implementation effort and user impact using the Zero Trust roadmap","1. Introduction to Zero Trust Workshop (access workshop homepage; review pillars and delivery guide) 2. Data Pillar (Sensitive Data Discovery with Microsoft Purview; Insider Risk Management demo; Conditional Access policy walkthrough for Insider Risk) 3. Network Pillar (Global Secure Access client deployment; traffic forwarding and DLP integration; monitoring application segments and client download options) 4. Security Operations Pillar (review a simulated attack; proactive avoidance with Microsoft Security Exposure Management and Sentinel data lake)","Microsoft Purview; Microsoft Entra (Global Secure Access); Microsoft Sentinel; Microsoft Defender Exposure Management; Security Copilot; Conditional Access; Sentinel data lake","Basic familiarity with Microsoft security tools; Access to lab environment with provided credentials; Excel and browser access within the VM"
"Strengthening identity security posture using Conditional Access aligned to Zero Trust in Microsoft Entra ID, including safe rollout and optimization with the Conditional Access Optimization Agent (Security Copilot).","LAB549: Strengthen your identity security posture with Conditional Access","LAB549: Conditional Access로 ID 보안 태세를 강화하기","https://github.com/microsoft/ignite25-LAB549-strengthen-your-identity-security-posture-with-conditional-access","Security;Azure;Governance;Copilot","Secure your tenant with Conditional Access aligned to Zero Trust. In this hands-on lab, you will learn safe rollout patterns and use the CA Optimization Agent–Security Copilot in Entra to scan daily, flag gaps, and remediate with one-click and phased enforcement.","Zero Trust에 맞춰 Conditional Access로 테넌트를 보호합니다. 이 실습형 랩에서는 안전한 롤아웃 패턴을 학습하고, Entra의 CA Optimization Agent–Security Copilot을 사용하여 매일 스캔하고 격차를 표시하며, 원클릭 및 단계적 적용으로 개선 조치를 수행하는 방법을 다룹니다.","Create a basic Conditional Access policy; verify policy reach using the WhatIf Analysis tool; block access to cloud resources using Conditional Access; configure and use the Conditional Access Optimization Agent.","Create a basic Conditional Access policy; Use WhatIf Analysis to verify policy reach; Block access to cloud resources with Conditional Access; Configure and use the Conditional Access Optimization Agent.","Microsoft Entra ID; Microsoft Entra Conditional Access; Conditional Access Optimization Agent (Security Copilot in Entra); WhatIf Analysis tool",""
"Identity governance at scale with Microsoft Entra","Lab544: Govern identities with confidence using Microsoft Entra","Lab544: Microsoft Entra를 사용하여 신뢰할 수 있게 ID를 거버넌스하기","https://github.com/microsoft/ignite25-LAB544-govern-identities-with-confidence-using-microsoft-entra","Security;Governance;Compliance;Azure","Gain the skills to govern identities at scale with Microsoft Entra. Get hands-on experience automating provisioning, streamlining access, enforcing governance policies, and configuring Face Check for identity validation to reduce risk and ensure compliance.","Microsoft Entra를 사용하여 대규모로 ID를 거버넌스하는 역량을 습득합니다. 프로비저닝 자동화, 액세스 간소화, 거버넌스 정책 적용, 그리고 위험을 줄이고 규정 준수를 보장하기 위한 ID 검증용 Face Check 구성에 대한 실습 경험을 제공합니다.","Configure and deploy a Lifecyle Workflow; Create an Entitlement package and use it to grant user access; Design an Access Review and run it; Use Just-in-Time access with Privileged Identity Management","Session Description; Learning Outcomes; Technologies Used; Microsoft Learn MCP Server; Resources and Next Steps","Microsoft Entra Lifecycle Workflows; Microsoft Entra Entitlement Management; Privileged Identity Management; Access Reviews; Face Check; Microsoft Learn MCP Server; GitHub Copilot; VS Code",""
"Mitigating cloud threats and improving cloud security posture using Microsoft Defender for Cloud","LAB550: Mitigating cloud threats with Microsoft Defender for Cloud","LAB550: Microsoft Defender for Cloud를 사용하여 클라우드 위협을 완화하기","https://github.com/microsoft/ignite25-LAB550-mitigating-cloud-threats-with-microsoft-defender-for-cloud","Security;Azure;Governance;Compliance","Attendees will learn to enable Microsoft Defender for Cloud, navigate its dashboard, and interpret regulatory compliance and workload protection insights. The labs cover secure score analysis, security recommendations, inventory management, pricing models, and governance rule assignment. By the end, participants will be equipped to proactively identify and mitigate threats, strengthen cloud security posture, and align with organizational governance standards.","참가자는 Microsoft Defender for Cloud를 활성화하고 대시보드를 탐색하며 규정 준수 및 워크로드 보호 인사이트를 해석하는 방법을 학습합니다. 실습에서는 Secure Score 분석, 보안 권장 사항, 인벤토리 관리, 가격 책정 모델, 거버넌스 규칙 할당을 다룹니다. 과정이 끝나면 참가자는 위협을 선제적으로 식별하고 완화하며 클라우드 보안 태세를 강화하고 조직의 거버넌스 표준에 맞출 수 있게 됩니다.","Enable Microsoft Defender for Cloud; configure its primary features; use the Defender for Cloud dashboard to quickly explore and update security posture; use recommendations from Defender for Cloud to mitigate threats.","Enable Defender for Cloud; Dashboard navigation and security posture review; Regulatory compliance and workload protection insights; Secure score analysis; Security recommendations; Inventory management; Pricing models; Governance rule assignment.","Microsoft Defender for Cloud; Microsoft Azure",""
"Hands-on lab for maximizing cloud security posture management (CSPM) using Microsoft Defender for Cloud across hybrid environments","LAB551: Maximizing Cloud Security: CSPM in Microsoft Defender Cloud","LAB551: 클라우드 보안 극대화: Microsoft Defender for Cloud의 CSPM","https://github.com/microsoft/ignite25-LAB551-maximizing-cloud-security-cspm-in-microsoft-defender-cloud","Security;Azure;Governance;Compliance","This lab provides a hands-on deep dive into Microsoft Defender for Cloud’s CSPM capabilities to assess and improve cloud security across hybrid environments. Participants will identify misconfigurations, apply compliance frameworks, and automate remediation strategies to strengthen their overall security posture.","이 랩은 Microsoft Defender for Cloud의 CSPM 기능을 실습 중심으로 심층적으로 다루며, 하이브리드 환경 전반에서 클라우드 보안을 평가하고 개선하는 방법을 학습합니다. 참가자는 구성 오류를 식별하고, 규정 준수 프레임워크를 적용하며, 자동화된 수정(리미디에이션) 전략을 적용하여 전반적인 보안 태세를 강화합니다.","Enable Microsoft Defender for Cloud CSPM; Review potential attack paths using Attack Path Analysis; Use Query Builder to identify resources that might be at risk","Enable Microsoft Defender for Cloud CSPM; Attack Path Analysis to review potential attack paths; Query Builder to find at-risk resources","Microsoft Defender for Cloud; Microsoft Azure",""
